308/3537;Australian National University
308/4693;Massey University
308/3915;IST Austria
308/2902;Queensland University of Technology
180/0559;University of Southampton
180/5692;Duke University
180/4694;Massey University
180/7169;Univ. of Illinois at Urbana-Champaign
180/1401;Bar-Ilan University
180/3203;De La Salle University
180/7902;IT University of Copenhagen
180/7823;Queensland University of Technology
180/7917;Univ. of California - Riverside
180/4606;Massey University
180/1072;Duke University
180/7246;Monash University
180/5813;Brown University
246/3228;University of Waikato
246/4752;University of Massachusetts Amherst
164/8375;George Mason University
164/7292;Simon Fraser University
164/1505;SUTD
164/3332;IIIT Hyderabad
164/5751;Carnegie Mellon University
164/0115;Cardiff University
164/1771;SUFE
164/7314;Univ. of California - San Diego
164/5129;DAIICT
164/5885;Northeastern University
164/8112;University of Pennsylvania
164/5733;McMaster University
164/5605;Graz University of Technology
164/9334;Hunan University
164/7417;EPFL
164/8231;Hunan University
164/9035;Queen Mary University of London
164/8569;University of Utah
164/7121;University of Montreal
164/7324;University of Tübingen
189/0401;Claremont Graduate University
189/0397;University of South Carolina
189/1752;Naval Postgraduate School
189/7300;University of Vermont
189/5825;University of Essex
189/4463;De La Salle University
189/3492;BITS Pilani-Goa
189/3118;BITS Pilani-Goa
189/0664;De La Salle University
189/9205;Univ. of Maryland - Baltimore County
189/4223;University of Technology Sydney
189/1546;New Mexico State University
189/1215;University of Iowa
f/FelipeMaiaGalvaoFranca;UFRJ
f/StephenBFurber;University of Manchester
f/MKFranklin;Univ. of California - Davis
f/AlanDavidFekete;University of Sydney
f/FarshadFotouhi;Wayne State University
f/ShelbyFunk;University of Georgia
f/PGFrankl;New York University
f/MarioATFigueiredo;Universidade de Lisboa
f/DGFeitelson;Hebrew University of Jerusalem
f/AlexandreXFalcao;UNICAMP
f/AlexAlvesFreitas;University of Kent
f/DavidAForsyth;Univ. of Illinois at Urbana-Champaign
f/TomFriedetzky;Durham University
f/TWFinin;Univ. of Maryland - Baltimore County
f/HFerhatosmanoglu;University of Warwick
f/LuizGustavoFernandes;PUC-RS
f/FCFreiling;University of Erlangen–Nuremberg
f/AdaWaiCheeFu;Chinese University of Hong Kong
f/JeanneFerrante;Univ. of California - San Diego
f/StefanFunke;University of Stuttgart
f/UrielFeige;Weizmann Institute of Science
f/IanTFoster;University of Chicago
f/StephenFickas;University of Oregon
f/MarcFeeley;University of Montreal
f/SergejFatikow;University of Oldenburg
f/NicholasSFlann;Utah State University
f/MariaGraziaFugini;Politecnico di Milano
f/AlanMFrieze;Carnegie Mellon University
f/PeterMFischer1;University of Augsburg
f/PeterForbrig;University of Rostock
