,country,institution,name,lat,lon,fuzz-ratio,status
0,Greece,AUEB,,,,,WRONG
1,Denmark,Aalborg University,Aalborg University,57.015907049999996,9.975308243557345,100.0,OK
2,Finland,Aalto University,Aalto University,60.1860789,24.828102074406736,100.0,OK
3,Denmark,Aarhus University,VIA University College,56.1559008,10.190560332165813,62.0,WATCH
4,United Kingdom,Aberystwyth University,Aberystwyth University Penglais Campus,52.415489,-4.063876,73.0,WATCH
5,Egypt,American University in Cairo,Cairo University,30.0271777,31.20580418186462,55.0,WATCH
6,Lebanon,American University of Beirut,,,,,WRONG
7,Israel,Ariel University,The open university,32.188071,34.887563,63.0,WATCH
8,Australia,Australian National University,The Australian National University,-35.27772,149.11891,94.0,OK
9,India,BITS Pilani,,,,,WRONG
10,India,BITS Pilani-Goa,,,,,WRONG
11,Bangladesh,BUET,Premier University,22.3586336,91.8232455,9.0,WATCH
12,China,BUPT,Beijing Normal University (BNU),39.959732,116.35973698189176,11.0,WATCH
13,Romania,Babeș-Bolyai University,Faculty of Psychology and Educational Sciences,46.769705,23.584576,29.0,WATCH
14,Israel,Bar-Ilan University,Bar Ilan University,32.069329249999996,34.84334338615306,95.0,OK
15,Germany,Bauhaus University Weimar,University Library of Bauhaus-Universität Weimar,50.97751515,11.327399707916015,47.0,WATCH
16,China,Beihang University,Beihang University,39.9809427,116.34097867654876,100.0,OK
17,Israel,Ben-Gurion University of the Negev,Ben Gurion University of the Negev,31.2631254,34.802238544584185,97.0,OK
18,Germany,Bielefeld University,Universität Bielefeld,52.0365422,8.490177589517387,44.0,WATCH
19,Turkey,Bilkent University,Medipol University,41.022789,28.953811,72.0,WATCH
20,United Kingdom,Birkbeck University of London,Birkbeck College,51.52184485,-0.13021550670673807,44.0,WATCH
21,Italy,Bocconi University,Bocconi University,45.449719400000006,9.188708672031792,100.0,OK
22,Turkey,Boğaziçi University,Bogazici University,41.08475,29.051,89.0,OK
23,Germany,Brandenburg University of Technology,,,,,WRONG
24,Czech Republic,Brno University of Technology,,,,,WRONG
25,United Kingdom,Brunel University London,Brunel University Sports Park,51.52975035,-0.46427017999845865,72.0,WATCH
26,Germany,Bundeswehr University Munich,,,,,WRONG
27,Germany,CISPA Helmholtz Center,Saarland University,49.25437635,7.041481352041722,24.0,WATCH
28,India,CMI,Doon University,30.26730765,78.04533212061747,0.0,WATCH
29,France,CRIStAL,,,,,WRONG
30,Netherlands,CWI,Amsterdam University College,52.3550626,4.9509648503886226,6.0,WATCH
31,United Kingdom,Cardiff University,Cardiff University - Abacws,51.489091,-3.178884,80.0,WATCH
32,Canada,Carleton University,University Towers,45.9533728,-66.63541759385083,56.0,WATCH
33,Sweden,Chalmers/GU,Chalmers University of Technology,57.6897462,11.97652929499342,41.0,WATCH
34,Czech Republic,Charles University,Charles Darwin University,-19.652139,134.195812,84.0,OK
35,China,Chinese Academy of Sciences,Minzu University of China,39.9496858,116.31484427275208,42.0,WATCH
36,Hong Kong,Chinese University of Hong Kong,The Chinese University of Hong Kong,22.420039,114.205696,94.0,OK
37,Thailand,Chulalongkorn University,Chulalongkorn University,13.7431095,100.53288411765634,100.0,OK
38,Hong Kong,City University of Hong Kong,,,,,WRONG
39,United Kingdom,City University of London,"City, University of London",51.527567,-0.102762,98.0,OK
40,Canada,Concordia University,Concordia University Texas,30.4187934,-97.83847636084943,87.0,OK
41,Cyprus,Cyprus University of Technology,Cyprus University of Technology Library,34.67555,33.04477,89.0,OK
42,Czech Republic,Czech Technical University,technical university,2.202113,102.247069,78.0,WATCH
43,India,DAIICT,Karnavati University,23.202237750000002,72.58361048404424,0.0,WATCH
44,Denmark,DTU,Technical University of Denmark,55.785414450000005,12.520215144442094,6.0,WATCH
45,Canada,Dalhousie University,University Lodge,49.26658195,-123.23946376438212,56.0,WATCH
46,Philippines,De La Salle University,,,,,WRONG
47,United Kingdom,Durham University,,,,,WRONG
