institution,name,lat,lon,fuzz-ratio
Aalborg University,Aalborg University,57.015907049999996,9.975308243557345,100
Aalto University,Aalto University,60.1860789,24.828102074406736,100
Aarhus University,Aarhus University,56.1670905,10.202617693592895,100
Aberystwyth University,Aberystwyth University Boat House,52.4071457,-4.088065708310513,80
American University of Beirut,American University of Beirut,33.9000264,35.48238377752095,100
Australian National University,Australian National University,-35.28121335,149.11677886464528,100
BITS Pilani,Birla Institute of Technology and Science - BITS,28.35866475,75.58825578134679,14
BITS Pilani-Goa,BITS Library,28.365369,75.588956,52
Babeș-Bolyai University,Babeş-Bolyai University,46.7677836,23.59197655428016,96
Bauhaus University Weimar,Bauhaus University Weimar,50.97571335,11.330109194410245,100
Beihang University,Beihang University,39.9809427,116.34097867654876,100
Ben-Gurion University of the Negev,Ben Gurion University of the Negev,31.2631254,34.802238544584185,97
Bielefeld University,Universität Bielefeld,52.0376885,8.493223283579532,44
Birkbeck University of London,Birkbeck College,51.52184485,-0.13021550670673807,44
Bocconi University,Bocconi University,45.449719400000006,9.188708672031792,100
Boğaziçi University,Bogazici University,41.08475,29.051,89
Brunel University London,Brunel University London,51.5326092,-0.47404989072672915,100
CISPA Helmholtz Center,CISPA – Helmholtz Center for Information Security,49.25934725,7.051113127158179,62
Cardiff University,Cardiff University Students Union,51.4883511,-3.17749396163176,71
Carleton University,Carleton University,45.3858581,-75.69500411688679,100
Charles University,"Faculty of Arts, Charles University in Prague",50.088915400000005,14.416137207688877,57
Chinese Academy of Sciences,Chinese Academy of Sciences,39.90933665,116.32971461228999,100
City University of Hong Kong,City University of Hong Kong,22.336535,114.174392,100
City University of London,"City, University of London",51.5276441,-0.10359892518182634,98
Concordia University,Concordia University,45.49741,-73.5771,100
Cyprus University of Technology,mTtofis Kyriakou Building (Electrical Engineering) - Cyprus University of Technology,34.67507365,33.043283599999995,54
Czech Technical University,Czech Technical University in Prague,50.1029026,14.3946353,84
Durham University,Durham,54.779749,-1.581512,52
ETS Montreal,ETS - Centre de technologie thermique,45.49497815,-73.56067407713178,37
Ecole Normale Superieure,École Normale,48.934484,2.419196,65
Ecole Normale Superieure de Rennes,École normale supérieure de Rennes,48.0451896,-1.7457907,88
Federal University of Rio Grande,Federal University of Rio Grande do Sul,-30.03384,-51.21857,90
Freie Universitaet Berlin,Freie Universität Berlin Universitätsbliblothek,52.447946200000004,13.277927071960601,64
Friedrich Schiller University Jena,Friedrich-Schiller-University Jena,50.92997,11.58994,94
Galatasaray University,Galatasaray University,41.045992299999995,29.020462428881267,100
Goldsmiths University of London,"Goldsmiths, University of London Campus",51.47339855,-0.03735547774931765,89
Graz University of Technology,Graz University of Technology,47.05821,15.460194742646241,100
HEC Montreal,HEC Montréal,45.5036114,-73.6212922,92
HSE University,Moscow State University,55.70229715,37.53179772747929,65
Hamburg University of Technology,Hamburg University of Technology,53.461,9.969226430380203,100
Hanyang University,HANYANG,37.485103,127.042669,8
Harbin Institute of Technology,Harbin Institute of Technology,45.741589,126.62556263488914,100
Hasso Plattner Institute,Hasso-Plattner-Institut,52.393714,13.132289,89
Hebrew University of Jerusalem,Hebrew University of Jerusalem,31.7918555,35.244723,100
Heriot-Watt University,Heriot-Watt University,55.91029585,-3.323447514558347,100
Hong Kong Baptist University,Hong Kong Baptist University,22.3874201,114.2082222,100
Humboldt University of Berlin,Humboldt University of Berlin (main building),52.51858145,13.39287840245042,78
Hunan University,Hunan University,28.17954925,112.94109846746443,100
IIIT Bangalore,International Institute of Information Technology Bangalore,12.84430185,77.66329207588834,38
IIIT Delhi,IIIT-Delhi,28.54632595,77.27325504180786,90
IIIT Hyderabad,"International Institute of Information Technology, Hyderabad",17.4454957,78.34854697544472,38
IISc Bangalore,Indian Institute of Science,13.022234699999998,77.56718324768107,29
IIT Bhubaneswar,"IIT Bhubaneswar, Khorda",20.14808125,85.67642980645702,79
IIT Bombay,IIT Bombay Staff CHS Ltd,19.1145814,72.90500207784373,59
IIT Gandhinagar,IIT Gandhinagar Hostel Mess,23.2109137,72.68567936877673,71
IIT Hyderabad,Narayana IIT Campus,17.49745625,78.3985949,31
IIT Indore,Indian Institute Of Technology Indore,22.526927550000003,75.92620657865751,43
IIT Jodhpur,IIT Jodhpur,26.2713865,73.03333482988316,100
IIT Kharagpur,Indian Institute of Technology Kharagpur,22.31442745,87.31039202691741,49
IIT Madras,Indian Institute of Technology - IIT Madras ( இந்திய தொழில்நுட்ப கழகம் - சென்னை),12.9914769,80.2336786,22
IIT Patna,GOAL Institute for Medical/IIT,25.6206913,85.1282653,15
IMDEA Networks Institute,Fundación IMDEA Networks,40.336812,-3.770478,58
IMDEA Software Institute,IMDEA Software,40.406934,-3.835474,74
IPI PAN,IPI Lyon,45.770166,4.806452,53
IPM,Zahedan Islamic Republic of Iran Guard Corps Heliport,29.50094,60.8146,4
IST Austria,IST Austria,48.3109736,16.258631088976628,100
IT University of Copenhagen,IT University,55.65965525,12.591076889344563,65
Imperial College London,Imperial College,51.4994284,-0.1797084,82
Istanbul Technical University,Istanbul Technical University,41.10504645,29.02632676574676,100
Izmir Institute of Technology,İzmir Institute of Technology,38.32247565,26.637855746923606,97
Jacobs University Bremen,Jacobs University Bremen,53.167723300000006,8.651165678669964,100
KAIST,Kaist,68.20556,31.68923,20
KTH Royal Institute of Technology,KTH - Royal Institute of Technology (Södertälje),59.201676,17.62032,81
Karlsruhe Institute of Technology,Karlsruhe Institute of Technology,49.101853399999996,8.433120159201868,100
Korea University,Uni Credit,43.934711,18.794579,46
Koç University,Koç University,41.20315895,29.072865356234708,100
