institution,name,lat,lon,fuzz-ratio
Aberystwyth University,Aberystwyth University Boat House,52.4071457,-4.088065708310513,80.0
BITS Pilani,Birla Institute of Technology and Science - BITS,28.35866475,75.58825578134679,14.0
BITS Pilani-Goa,BITS Library,28.365369,75.588956,52.0
Bielefeld University,Universität Bielefeld,52.0376885,8.493223283579532,44.0
Birkbeck University of London,Birkbeck College,51.52184485,-0.13021550670673807,44.0
CISPA Helmholtz Center,CISPA – Helmholtz Center for Information Security,49.25934725,7.051113127158179,62.0
Cardiff University,Cardiff University Students Union,51.4883511,-3.17749396163176,71.0
Charles University,"Faculty of Arts, Charles University in Prague",50.088915400000005,14.416137207688877,57.0
Cyprus University of Technology,mTtofis Kyriakou Building (Electrical Engineering) - Cyprus University of Technology,34.67507365,33.043283599999995,54.0
Durham University,Durham,54.779749,-1.581512,52.0
ETS Montreal,ETS - Centre de technologie thermique,45.49497815,-73.56067407713178,37.0
Ecole Normale Superieure,École Normale,48.934484,2.419196,65.0
Freie Universitaet Berlin,Freie Universität Berlin Universitätsbliblothek,52.447946200000004,13.277927071960601,64.0
HSE University,Moscow State University,55.70229715,37.53179772747929,65.0
Hanyang University,HANYANG,37.485103,127.042669,8.0
Humboldt University of Berlin,Humboldt University of Berlin (main building),52.51858145,13.39287840245042,78.0
IIIT Bangalore,International Institute of Information Technology Bangalore,12.84430185,77.66329207588834,38.0
IIIT Hyderabad,"International Institute of Information Technology, Hyderabad",17.4454957,78.34854697544472,38.0
IISc Bangalore,Indian Institute of Science,13.022234699999998,77.56718324768107,29.0
IIT Bhubaneswar,"IIT Bhubaneswar, Khorda",20.14808125,85.67642980645702,79.0
IIT Bombay,IIT Bombay Staff CHS Ltd,19.1145814,72.90500207784373,59.0
IIT Gandhinagar,IIT Gandhinagar Hostel Mess,23.2109137,72.68567936877673,71.0
IIT Hyderabad,Narayana IIT Campus,17.49745625,78.3985949,31.0
IIT Indore,Indian Institute Of Technology Indore,22.526927550000003,75.92620657865751,43.0
IIT Kharagpur,Indian Institute of Technology Kharagpur,22.31442745,87.31039202691741,49.0
IIT Madras,Indian Institute of Technology - IIT Madras ( இந்திய தொழில்நுட்ப கழகம் - சென்னை),12.9914769,80.2336786,22.0
IIT Patna,GOAL Institute for Medical/IIT,25.6206913,85.1282653,15.0
IMDEA Networks Institute,Fundación IMDEA Networks,40.336812,-3.770478,58.0
