,author,name,pid
0,A Min Tjoa,A Min Tjoa,t/AMinTjoa
1,A. Akbari Azirani,A. Akbari Azirani,36/9367
2,A. Akbariazirani,A. Akbariazirani,36/9367
3,A. Aldo Faisal,A. Aldo Faisal,54/5027
4,A. Antony Franklin,A. Antony Franklin,63/3408
5,A. B. M. Alim Al Islam,A. B. M. Alim Al Islam,20/9660
6,A. B. Siddique 0001,A. B. Siddique 0001,117/5796
7,A. Bhaskar,A. Bhaskar,318/7164
8,A. C. Cem Say,A. C. Cem Say,11/4210
9,A. C. W. Finkelstein,Anthony Finkelstein,f/AFinkelstein
10,A. Cüneyd Tantug,A. Cüneyd Tantug,42/3214
11,A. D. Fekete,Alan D. Fekete,f/AlanDavidFekete
12,A. David Marshall,A. David Marshall,m/ADavidMarshall
13,A. E. Eiben,A. E. Eiben,e/AEEiben
14,A. Ercüment Çiçek,A. Ercüment Çiçek,47/11102
15,A. I. Ovchinnikov,Alexey Ovchinnikov,03/4169
16,A. J. Field,A. J. Field,f/AJField
17,A. J. H. Hidders,Jan Hidders,h/JanHidders
18,A. J. Jansen,A. J. Jansen,57/1786
19,A. J. Kfoury,Assaf J. Kfoury,k/AssafJKfoury
20,A. J. Ko 0001,Jayantha Kodikara 0001,157/8409
21,A. Jefferson Offutt,A. Jefferson Offutt,o/AJeffersonOffutt
22,A. John Power,John Power,p/JohnPower
23,A. K. McIver,Annabelle McIver,m/AnnabelleMcIver
24,A. M. A. Hemmatyar,A. M. A. Hemmatyar,119/8996
25,A. Min Tjoa,A. Min Tjoa,330/1107
26,A. Murat Ozbayoglu,A. Murat Ozbayoglu,137/6822
27,A. Murat Özbayoglu,A. Murat Ozbayoglu,137/6822
28,A. Neil Arnason,Neil Arnason,45/5947
29,A. P. Sarath Chandar,Sarath Chandar,45/8542
30,A. P. Vinod 0001,A. Prasad Vinod 0001,92/249
31,A. P. Willem Böhm,A. P. Wim Böhm,b/APWBohm
32,A. P. Wim Böhm,A. P. Wim Böhm,b/APWBohm
33,A. Pavan 0001,Aduri Pavan,88/1807
34,A. Prasad Sistla,A. Prasad Sistla,s/APrasadSistla
35,A. Prasad Vinod,A. Prasad Vinod 0001,92/249
36,A. Prasad Vinod 0001,A. Prasad Vinod 0001,92/249
37,A. Rau-Chaplin,Andrew Rau-Chaplin,r/ARauChaplin
38,A. Robert Calderbank,A. Robert Calderbank,c/ARobertCalderbank
39,A. Rupam Mahmood,A. Rupam Mahmood,120/6935
40,A. S. M. Hoque,A. S. M. Hoque,66/504
41,A. S. M. Latiful Hoque,Abu Sayed Md. Latiful Hoque,66/504
42,A. S. Madhukumar,A. S. Madhukumar,66/549
43,A. Selcuk Uluagac,A. Selcuk Uluagac,46/1500
44,A. Sima Etaner-Uyar,A. Sima Etaner-Uyar,u/ASimaEtanerUyar
45,A. T. Burrell,Anthony T. Burrell,123/9628
46,A. T. Chamillard,A. T. Chamillard,05/5470
47,A. Taylan Cemgil,A. Taylan Cemgil,41/6613
48,A. Th. Schreiber,A. Th. Schreiber,s/GuusSchreiber
49,A. Udaya Shankar,A. Udaya Shankar,s/AUdayaShankar
50,A. V. Sreejith,A. V. Sreejith,89/8556
51,A. V. Subramanyam,A. V. Subramanyam,262/2134
52,A. W. Roscoe 0001,A. W. Roscoe 0001,r/AWRoscoe
53,A. William Roscoe,A. W. Roscoe 0001,r/AWRoscoe
54,A. Yurdakul,Arda Yurdakul,56/6092
55,Aaditeshwar Seth,Aaditeshwar Seth,13/1287
56,Aamena Al Shamsi,Aamena Alshamsi,155/8055
57,Aamena Alshamsi,Aamena Alshamsi,155/8055
58,Aamir Cheema,Muhammad Aamir Cheema,55/5690
59,Aanjhan Ranganathan,Aanjhan Ranganathan,23/11190
60,Aapo Hyvärinen,Aapo Hyvärinen,56/3623
61,Aarne Ranta,Aarne Ranta,75/3622
62,Aaron Bernstein,Aaron Bernstein,02/4059
63,Aaron Bobick,Aaron F. Bobick,b/AaronFBobick
64,Aaron C. Courville,Aaron C. Courville,56/1688
65,Aaron Clauset,Aaron Clauset,97/4275
66,Aaron D. Striegel,Aaron Striegel,42/6870
67,Aaron F. Bobick,Aaron F. Bobick,b/AaronFBobick
68,Aaron Harwood,Aaron Harwood,27/5788
69,Aaron Henry Potechin,Aaron Potechin,65/3122
70,Aaron J. Elmore,Aaron J. Elmore,75/9436
71,Aaron J. Quigley,Aaron J. Quigley,q/AaronJQuigley
72,Aaron Leon Roth,Aaron Roth 0001,80/3311
73,Aaron M. Dollar,Aaron M. Dollar,79/3998
74,Aaron McFadyen,Aaron McFadyen,123/6737
75,Aaron Potechin,Aaron Potechin,65/3122
76,Aaron Quigley,Aaron J. Quigley,q/AaronJQuigley
77,Aaron Roth 0001,Aaron Roth 0001,80/3311
78,Aaron Schulman,Aaron Schulman,77/3626
79,Aaron Sidford,Aaron Sidford,125/2326
80,Aaron Steven White,Aaron Steven White,188/5734
81,Aaron Striegel,Aaron Striegel,42/6870
82,Aaron Stump,Aaron Stump,46/656
83,Aaron Visaggio,Corrado Aaron Visaggio,38/2506
84,Aart Middeldorp,Aart Middeldorp,m/AMiddeldorp
85,Aarti Gupta,Aarti Gupta,18/2229
86,Aarti Sathyanarayana,Aarti Sathyanarayana,152/0966
87,Aarti Singh,Aarti Singh,64/5328
88,Aasa Feragen,Aasa Feragen,62/8616
89,Aasheesh Kolli,Aasheesh Kolli,138/4146
90,Aastha Mehta,Aastha Mehta,161/0164
91,Abbas Edalat,Abbas Edalat,e/AbbasEdalat
92,Abbas Heydarnoori,Abbas Heydarnoori,h/AbbasHeydarnoori
93,Abbe Mowshowitz,Abbe Mowshowitz,78/1579
94,Abbes Amira,Abbes Amira,a/AbbesAmira
95,Abdallah Saffidine,Abdallah Saffidine,99/7599
96,Abdel Latif Abu Dalhoum,Abdel Latif Abu Dalhoum,08/9707
97,AbdelRahman Abdou,AbdelRahman Abdou,157/0157
98,Abdelaziz Bouras,Abdelaziz Bouras,71/3037
99,Abdelfattah Amamra,Abdelfattah Amamra,124/8380
100,Abdelhakim Hafid,Abdelhakim Hafid,73/2285
101,Abdelhakim Senhaji Hafid,Abdelhakim Hafid,73/2285
102,Abdelkarim Erradi,Abdelkarim Erradi,63/3982
103,Abdelmounaam Rezgui,Abdelmounaam Rezgui,47/4717
104,Abdelsalam (Sumi) Helal,Abdelsalam Helal,h/AHelal
105,Abdelsalam Helal,Abdelsalam Helal,h/AHelal
106,Abdeslam Boularias,Abdeslam Boularias,57/2269
107,Abdol-Hossein Esfahanian,Abdol-Hossein Esfahanian,e/AHEsfahanian
108,Abdolahad Noori Zehmakan,Ahad N. Zehmakan,167/4131
109,Abdolreza Abhari,Abdolreza Abhari,29/617
110,Abdou S. Youssef,Abdou Youssef,48/46
111,Abdou Youssef,Abdou Youssef,48/46
112,Abdul Mohsen Almalawi,Abdulmohsen Almalawi,139/3145
113,Abdul Serwadda,Abdul Serwadda,42/8733
114,Abdulaziz Ali,Abdulaziz Ali,142/2548
115,Abdulhakim Qahtan,Abdulhakim Qahtan,319/9657
116,Abdulla K. Al-Ali,Abdulla K. Al-Ali,130/9027
117,Abdulla Khalid Al-Ali,Abdulla K. Al-Ali,130/9027
118,Abdullah Al Redwan Newaz,Abdullah Al Redwan Newaz,142/9844
119,Abdullah Al-Ali,Abdullah Al-Ali,130/9027
120,Abdullah Algarni,Abdullah Algarni,142/9280
121,Abdullah Basuhail,Abdullah Basuhail,173/0946
122,Abdullah Ercument Cicek,A. Ercüment Çiçek,47/11102
123,Abdullah Mueen,Abdullah Mueen 0001,63/7047
124,Abdullah Muzahid,Abdullah Muzahid,45/7115
125,Abdullah Uz Tansel,Abdullah Uz Tansel,10/3450
126,Abdullah Yasin Nur,Abdullah Yasin Nur,182/9327
127,Abdulmohsen Almalawi,Abdulmohsen Almalawi,139/3145
128,Abdulmotaleb El-Saddik,Abdulmotaleb El-Saddik,06/1887
129,Abe Davis,Abe Davis,117/4799
130,Abedelaziz Mohaisen,David Mohaisen,70/2832
131,Abhi Shelat,Abhi Shelat,s/AShelat
132,Abhijeet Ghosh,Abhijeet Ghosh,54/2868
133,Abhijit Das 0004,Abhijit Das 0004,73/1871-4
134,Abhijit Mahalanobis,Abhijit Mahalanobis,71/872
135,Abhijit S. Pandya,Abhijit S. Pandya,15/3326
136,Abhik Roychoudhury,Abhik Roychoudhury,04/5884
137,Abhilash Jindal,Abhilash Jindal,44/10603
138,Abhinav Bhatele,Abhinav Bhatele,82/6441
139,Abhinav Dhall,Abhinav Dhall,05/7591
140,Abhinav Gupta 0001,Abhinav Gupta 0001,36/7024-1
141,Abhinav Kumar Singh,Abhinav Kumar Singh,156/2124
142,Abhinav Shrivastava,Abhinav Shrivastava,65/10572
143,Abhir Bhalerao,Abhir Bhalerao,56/1625
144,Abhir H. Bhalerao,Abhir Bhalerao,56/1625
145,Abhiram G. Ranade,Abhiram G. Ranade,r/AbhiramGRanade
146,Abhiram Ranade,Abhiram G. Ranade,r/AbhiramGRanade
147,Abhishek Bhattacharjee,Abhishek Bhattacharjee,78/4478
148,Abhishek Bichhawat,Abhishek Bichhawat,61/10308
149,Abhishek Chandra,Abhishek Chandra,97/3628
150,Abhishek Dubey,Abhishek Dubey,67/525
151,Abhishek Gupta,Abhishek Gupta,18/6404
152,Abhishek Jain 0002,Abhishek Jain 0002,34/3
153,Abhishek Kr Singh,Abhishek Kr Singh,88/10542
154,Abhishek Mishra,Abhishek Mishra,74/9975
155,Abhishek Sarkar,Abhishek Sarkar,81/671
156,Abhishek Srivastava,Abhishek Srivastava,38/1922
157,Abhradeep Guha Thakurta,Abhradeep Thakurta,31/8315
158,Abhradeep Thakurta,Abhradeep Thakurta,31/8315
159,Abilio Lucena,Abilio Lucena,07/4254
160,Abir Das,Abir Das,141/1311
161,Abir De,Abir De,118/7174
162,Abolfazl Asudeh,Abolfazl Asudeh,04/7892
163,Abolfazl Razi,Abolfazl Razi,83/8819
164,Abolfazl S. Motahari,Abolfazl S. Motahari,35/1085
165,Abolfazl Seyed Motahari,Abolfazl S. Motahari,35/1085
166,Abraham Bernstein,Abraham Bernstein,b/AbrahamBernstein
167,Abraham Duarte,Abraham Duarte,85/3743
168,Abraham G. Campbell,Abraham G. Campbell,55/3873
169,Abraham Silberschatz,Avi Silberschatz,s/AbrahamSilberschatz
170,Abram Hindle,Abram Hindle,76/2009
171,Abtin Rahimian,Abtin Rahimian,76/9134
172,Abu Asaduzzaman,Abu Asaduzzaman,87/1633
173,Abu Sayed Md. Latiful Hoque,Abu Sayed Md. Latiful Hoque,66/504
174,Abul Kashem,,
175,Abusayeed M. Saifullah,Abusayeed Saifullah,56/8452
176,Abusayeed Saifullah,Abusayeed Saifullah,56/8452
177,Abutalib Aghayev,Abutalib Aghayev,159/2251
178,Abyayananda Maiti,Abyayananda Maiti,48/9828
179,Achi Brandt,Achi Brandt,09/1013
180,Achille Pattavina,Achille Pattavina,36/6659
181,Achim Blumensath,Achim Blumensath,05/6271
182,Achim D. Brucker,Achim D. Brucker,b/AchimDBrucker
183,Achim Ebert,Achim Ebert,49/6091
184,Achim Jung,Achim Jung,55/5532
185,Achim Schweikard,Achim Schweikard,s/AchimSchweikard
186,Achim Streit,Achim Streit,s/AchimStreit
187,Achutavarrier Prasad Vinod,A. Prasad Vinod 0001,92/249
188,Ada Gavrilovska,Ada Gavrilovska,76/3229
189,Ada Wai-Chee Fu,Ada Wai-Chee Fu,f/AdaWaiCheeFu
190,Adalbert Gerald Soosai Raj,Adalbert Gerald Soosai Raj,160/4548
191,Adalberto L. Simeone,Adalberto L. Simeone,02/4044
192,Adalberto Lafcadio Simeone,Adalberto L. Simeone,02/4044
193,Adam A. Porter,Adam A. Porter,p/AdamAPorter
194,Adam Bargteil,Adam W. Bargteil,43/5121
195,Adam Bates 0001,Adam Bates 0001,126/3601
196,Adam Belay,Adam Belay,14/8279
197,Adam Chlipala,Adam Chlipala,52/796
198,Adam Czajka,Adam Czajka,39/2720
199,Adam D. Smith,Adam D. Smith,04/5072
200,Adam Doupé,Adam Doupé,28/8280
201,Adam Finkelstein,Adam Finkelstein,f/AdamFinkelstein
202,Adam Hahn,Adam Hahn,44/10653
203,Adam Herout,Adam Herout,25/469
204,Adam J. Aviv,Adam J. Aviv,94/1554
205,Adam J. Lee,Adam J. Lee,62/1373
206,Adam Jatowt,Adam Jatowt,j/AdamJatowt
207,Adam Krzyzak,Adam Krzyzak,k/AdamKrzyzak
208,Adam Lopez,Adam Lopez,65/5274
209,Adam M. Bates,Adam Bates 0001,126/3601
210,Adam M. Smith 0001,Adam M. Smith 0001,88/2052
211,Adam Marshall Smith,Adam M. Smith 0001,88/2052
212,Adam Morrison 0001,Adam Morrison 0001,40/944
213,Adam O'Neill,Adam O'Neill,55/3477
214,Adam P. Chester,Adam P. Chester,12/378
215,Adam Przepiórkowski,Adam Przepiórkowski,34/6295
216,Adam Prügel-Bennett,Adam Prügel-Bennett,p/AdamPrugelBennett
217,Adam R. Klivans,Adam R. Klivans,k/AdamRKlivans
218,Adam Richard Klivans,Adam R. Klivans,k/AdamRKlivans
219,Adam Rogalewicz,Adam Rogalewicz,87/2946
220,Adam Steele,Adam Steele,41/931
221,Adam W. Bargteil,Adam W. Bargteil,43/5121
222,Adam Wade Bargteil,Adam W. Bargteil,43/5121
223,Adam Wierman,Adam Wierman,56/4447
224,Adam Wolisz,Adam Wolisz,w/AdamWolisz
225,Adams Wai-Kin Kong,Adams Wai-Kin Kong,16/3792
226,Adarsh S. Sethi,Adarshpal S. Sethi,s/AdarshpalSSethi
227,Adarshpal S. Sethi,Adarshpal S. Sethi,s/AdarshpalSSethi
228,Adel Cherif,Adel Cherif,42/6840
229,Adel Elmaghraby,Adel Said Elmaghraby,e/AdelSaidElmaghraby
230,Adel Rahmani,Adel Rahmani,22/1946
231,Adel Said Elmaghraby,Adel Said Elmaghraby,e/AdelSaidElmaghraby
232,Adel Torkaman Rahmani,Adel Torkaman Rahmani,22/1946
233,Adele A. Rescigno,Adele A. Rescigno,r/AdeleARescigno
234,Adele Anna Rescigno,Adele A. Rescigno,r/AdeleARescigno
235,Adelinde M. Uhrmacher,Adelinde M. Uhrmacher,u/AdelindeUhrmacher
236,Adenilso Simão,Adenilso da Silva Simão,24/261
237,Adenilso da Silva Simão,Adenilso da Silva Simão,24/261
238,Adi Akavia,Adi Akavia,09/2245
239,Adi Shamir,Adi Shamir,s/AdiShamir
240,Adilson Elias Xavier,Adilson Elias Xavier,72/8017
241,Adish Singla [SWS],,
242,Aditi Majumder,Aditi Majumder,30/445
243,Aditya Akella,Aditya Akella,a/AdityaAkella
244,Aditya Bhaskara,Aditya Bhaskara,47/7801
245,Aditya Challa,Aditya Challa,189/3492
246,Aditya G. Parameswaran,Aditya G. Parameswaran,40/7459
247,Aditya Gilra,Aditya Gilra,195/6147
248,Aditya Grover,Aditya Grover,162/5052
249,Aditya Kanade,Aditya Kanade,61/2636
250,Aditya Mathur,Aditya P. Mathur,m/AdityaPMathur
251,Aditya Nigam,Aditya Nigam,60/7950
252,Aditya P. Mathur,Aditya P. Mathur,m/AdityaPMathur
253,Aditya Tatu,Aditya Tatu,19/3349
254,Aditya Thakur,,
255,Aditya Thakur 0001,Aditya V. Thakur,68/1945
256,Aditya V. Thakur,Aditya V. Thakur,68/1945
257,Adji B. Dieng,Adji B. Dieng,188/6478
258,Adji Bousso Dieng,Adji B. Dieng,188/6478
259,Adlen Ksentini,Adlen Ksentini,37/6589
260,Adnan Darwiche,Adnan Darwiche,p/ADarwiche
261,Adnan Ozsoy,Adnan Ozsoy,46/2115
262,Adnan Siraj Rakin,Adnan Siraj Rakin,215/3683
263,Adnan Yazici,Adnan Yazici,14/4370
264,Adolfo Muñoz,Adolfo Muñoz,53/3754
265,Adolfo Piperno,Adolfo Piperno,84/356
266,Adrian Dumitrescu,Adrian Dumitrescu,69/5787
267,Adrian F. Clark,Adrian F. Clark,68/1143
268,Adrian Fiech,Adrian Fiech,21/1195
