id;title
cmn;Workshop on Computational Models of Narrative (CMN)
fuzzIEEE;IEEE International Conference on Fuzzy Systems (FUZZ-IEEE)
cibd;Symposium on Computational Intelligence in Big Data (CIBD)
abc;International Conference on Activity and Behavior Computing (ABC)
lpe;Workshop on Logic Programming Environments (WLPE)
nsw;IEEE Network Science Workshop (NSW)
cnis;Communication Network and Information Security (CNIS)
hcir;Symposium on Human-Computer Interaction and Information Retrieval (HCIR)
ai50;50 Years of Artificial Intelligence (AI@50)
acl-workshops;ACL Workshops (ACL Workshops)
quantumcomm;Quantum Communication and Quantum Networking (QuantumComm)
sna;International Conference on Sensor Networks and Applications (SNA)
vnc;IEEE Vehicular Networking Conference (VNC)
ifip8-2;IFIP WG8.2
vision;International Conference on Computer Vision (VISION)
ubisec;International Conference on Ubiquitous Security (UbiSec)
mg;Mardi Gras Conference
ifip7;IFIP TC7 Publications
cisst;International Conference on Imaging Science Systems and Technology (CISST)
infocom;IEEE Conference on Computer Communications (INFOCOM)
6gsummit;6G Wireless Summit (6G SUMMIT)
icisa;International Conference on Information Science and Applications (ICISA)
numta;Numerical Computations Theory and Algorithms (NUMTA)
icoc;CCF Internet Conference of China (ICoC)
ewme;European Workshop on Microelectronics Education (EWME)
commnet;International Conference on Advanced Communication Technologies and Networking (CommNet)
icsai;International Conference on Systems and Informatics (ICSAI)
icitl;International Conference on Innovative Technologies and Learning (ICITL)
compute;Annual ACM India Compute Conference (Compute)
post;International Conference on Principles of Security and Trust (POST)
semeval;International Workshop on Semantic Evaluation (SemEval )
wstst;International Conference on Soft Computing as Transdisciplinary Science and Technology (CSTST)
wodes;International Workshop on Discrete Event Systems (WODES)
cts;International Conference on Collaboration Technologies and Systems (CTS)
paclic;Pacific Asia Conference on Language Information and Computation (PACLIC)
acl-insights;First Workshop on Insights from Negative Results in NLP (Insights)
msras;Monitoring Security and Rescue Techniques in Multiagent Systems (MSRAS)
psb;Pacific Symposium on Biocomputing (PSB)
tark;Theoretical Aspects of Rationality and Knowledge (TARK)
fsmnlp;Finite-State Methods and Natural Language Processing (FSMNLP)
hdi;Hochschuldidaktik der Informatik (HDI)
aistats;International Conference on Artificial Intelligence and Statistics (AISTATS)
iwcm;International Workshop on Complex Motion (IWCM)
ai;Canadian Conference on Artificial Intelligence (AI)
isas;International Service Availability Symposium (ISAS)
icse-encycris;Workshop on Engineering and Cybersecurity of Critical Systems (EnCyCriS)
tamc;Theory and Applications of Models of Computation (TAMC)
sipew;SPEC Workshops (SPEC)
bias;International Workshop on Algorithmic Bias in Search and Recommendation (BIAS)
cscesm;International Conference on Computer Science Computer Engineering and Social Media (CSCESM)
ifip8-1;The Practice of Enterprise Modeling (PoEM)
anns;Artificial Neural Networks and Intelligent Information Processing (ANNIIP)
ideal;International Conference on Intelligent Data Engineering and Automated Learning (IDEAL)
intersol;Innovation and Interdisciplinary Solutions for Underserved Areas (InterSol)
iadis;IADIS Conferences
