,author,country,institution
0,Abul Kashem,Bangladesh,BUET
1,Adish Singla [SWS],Germany,Max Planck Society
2,Aditya Thakur,United States,Univ. of California - Davis
3,Agustin Fernández,Spain,Polytechnic University of Catalonia
4,Alberto Raposo,Brazil,PUC-RIO
5,Alessandro Garcia,Brazil,PUC-RIO
6,Alessandro Salandrino,United States,University of Kansas
7,Alexander Konovalov,United Kingdom,University of St Andrews
8,Alexander O. Brodsky,Canada,Dalhousie University
9,Alexandre Mota,Brazil,UFPE
10,Alexandre Vasconcelos,Brazil,UFPE
11,Ali Salehson,Sweden,Chalmers/GU
12,Alice Haeyun Oh,"Korea, Republic of",KAIST
13,Alison Hill,United States,OHSU
14,Alvaro Cardenas,United States,Univ. of California - Santa Cruz
15,Ameet S. Talwalkar,United States,Carnegie Mellon University
16,Amr Mohamed,Qatar,Qatar University
17,Ana Paiva,Portugal,Universidade de Lisboa
18,Anderson Rocha,Brazil,UNICAMP
19,Andrea Corradini,Italy,University of Pisa
20,Andres Faina,Denmark,IT University of Copenhagen
21,Andrew E. Johnson,United States,University of Illinois at Chicago
22,Andrew PcPherson,United Kingdom,Queen Mary University of London
23,Andriy Panchenko,Germany,Brandenburg University of Technology
24,André C. P. L. F. Carvalho,Brazil,USP-ICMC
25,André Vasconcelos,Portugal,Universidade de Lisboa
26,Anelis Kaiser,Germany,University of Freiburg
27,Angelo C. Morzenti,Italy,Politecnico di Milano
28,Anil K. Jain,United States,Michigan State University
29,Anna Kicheva,Austria,IST Austria
30,Anna M. Antola,Italy,Politecnico di Milano
31,Antonio Cortes Rossello,Spain,Polytechnic University of Catalonia
32,Antonio Jose Rodriguez-Sanchez,Austria,University of Innsbruck
33,Antonio Juan Hormigo,Spain,Polytechnic University of Catalonia
34,Antonio R. Miele,Italy,Politecnico di Milano
35,António Casimiro Castro,Portugal,Universidade de Lisboa
36,António Grilo,Portugal,Universidade de Lisboa
37,Anurag K. Srivastava,United States,Washington State University
38,Arun Natarajan,United States,Oregon State University
39,Athanasios Giannetsos,Denmark,DTU
40,B. Berk Ustundag,Turkey,Istanbul Technical University
41,Beatriz Vicoso,Austria,IST Austria
42,Bengt Jonsson,Sweden,Uppsala University
43,Benjamin Fuller,United States,University of Connecticut
44,Berk Ustundag,Turkey,Istanbul Technical University
45,Bernard Steenis,Luxembourg,University of Luxembourg
46,Bert C. Huang,United States,Tufts University
47,Bob Hendley,United Kingdom,University of Birmingham
48,Bolette Sanford Pedersen,Denmark,University of Copenhagen
49,Brent Carper,United States,Washington State University
50,Bret Michael,United States,Naval Postgraduate School
51,Brett McKinney,United States,University of Tulsa
52,Bruno M. Nogueira,Brazil,UFMS
53,Bulusu Uma Shankar,India,ISI Kolkata
54,Caiwe De,China,Beihang University
55,Cheng Tan 0005,United States,Northeastern University
56,Chin-Lung Lu,"Taiwan, Province of China",National Tsing Hua University
57,Chittaranjan Mandal,India,IIT Kharagpur
58,Chris Doughty,United States,Northern Arizona University
59,Chris Hundhausen,United States,Washington State University
60,Chris R. Johnson,United States,University of Utah
61,Christian Berger,Sweden,Chalmers/GU
62,Christian Colombo,Malta,University of Malta
63,Christian Holz,Switzerland,ETH Zurich
64,Christian Jacob,Canada,University of Calgary
65,Christian Thomsen,Denmark,Aalborg University
66,Christina Penner,Canada,University of Manitoba
67,Christoph Eick,United States,University of Houston
68,Christoph Johann Feinauer,Italy,Bocconi University
69,Christoph Sommer,Germany,Paderborn University
70,Clark Barrett,United States,Stanford University
71,Cornelia Verspoor 0001,Australia,University of Melbourne
72,Crystal Hepp,United States,Northern Arizona University
73,D. F. Wong,Hong Kong,Chinese University of Hong Kong
74,D. T. Huynh,United States,University of Texas at Dallas
